Item Name,Qty,Price (total) (USD),Item link,Notes
ESP32-S3 N16R8 Dev Board (16MB Flash / 8MB PSRAM),2,15.2,https://knowhow.kg/microcontroller/tproduct/194953377792-esp32-s3-uno-n16r8,Source: KnowHow.kg (Includes 1 spare)
OV2640 Camera Module with Ribbon Cable,2,26.0,https://geek.kg/kontroller-esp32-cam-s-kameroy-ov2640/,Source: KnowHow.kg / Geek.kg (Includes 1 spare)
N20 Micro Gear Motors 6V,4,14.0,https://geek.kg/micro-metal-gearmotor-12v/,Source: Geek.kg / KnowHow.kg (Includes 2 spares)
Wheels for the robot,4,7.0,https://knowhow.kg/new-arrivals/tproduct/662358264762-koleso-dlya-servoprivoda-s-neprerivnim-v,Source: Geek.kg
TB6612FNG Dual DC Motor Driver Module,2,5.2,https://geek.kg/tb6612fng-drv8833-drayver-dvigateley/,Source: KnowHow.kg (Includes 1 spare)
1.69 inch ST7789 SPI TFT Color Display Module,1,3.7,https://knowhow.kg/new-arrivals/tproduct/675937279274-tft-ips-displei-13-spi,Source: Geek.kg
MAX98357 I2S Audio Amplifier Module + 3W Speaker,1,6.5,https://ym.kg/product/modul-audio-arduparts-kz-max98357-i2s-2235--130945943/,Source: KnowHow.kg
SG90 Micro Servo Motors,4,6.0,https://knowhow.kg/electric-motors/tproduct/361177371622-servomotor-sg90,Source: KnowHow.kg / Geek.kg (Includes 2 spares)
18650 Li-Ion Batteries 3.7V High-Drain,4,27.0,https://geek.kg/18650-sanyo/?sku=5570,Source: Geek.kg (Includes 2 spares)
2S 18650 BMS Protection Board,2,3,https://geek.kg/protection-board-for-18650-2s/,Source: Geek.kg (Includes 1 spare)
2-Slot 18650 Battery Holder,2,1.7,https://geek.kg/battery-box-18650/?sku=4451,Source: Geek.kg (Includes 1 spare; resolves battery wiring hazard)
LM2596 DC-DC Buck Converter Step-Down Module,2,5.0,https://geek.kg/preobrazovatel-dc-dc/,Source: Geek.kg / KnowHow.kg (Includes 1 spare)
MB-102 Breadboard + Jumper Wires Pack,2,7.0,https://geek.kg/wire-ff/?sku=5991  https://geek.kg/breadboard-large/,Source: KnowHow.kg (Includes 1 spare; retained per your request)
"M2/M3 Screw, Nut, and Standoff Assortment Kit",2,4.0,https://geek.kg/screws-m3/?sku=5990  https://geek.kg/screws-m2/?sku=6355,Source: KnowHow.kg (Resolves missing mounting hardware)
KCD1 Power Rocker Switch,2,3.5,https://ym.kg/product/knopka-kcd1-101-chernyi-krasnyi-120016092/,Source: KnowHow.kg / Geek.kg (Includes 1 spare)
1KG Spool 1.75mm PLA Filament,1,25.0,https://geek.kg/pla-175/?sku=4889,Source: Local 3D Store Bishkek
